entry	name	Quality	ItemLevel	InventoryType	class	subclass	stat_type1	stat_value1	stat_type2	stat_value2	stat_type3	stat_value3	stat_type4	stat_value4	stat_type5	stat_value5	stat_type6	stat_value6	stat_type7	stat_value7	stat_type8	stat_value8	stat_type9	stat_value9	stat_type10	stat_value10	dmg_min1	dmg_max1	dmg_type1	delay	armor	spellid_1	spelltrigger_1	spellid_2	spelltrigger_2	spellid_3	spelltrigger_3	spellid_4	spelltrigger_4	spellid_5	spelltrigger_5
2100	Precisely Calibrated Boomstick	4	48	26	2	3	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	56	0	1500	0	0	0	0	0	0	0	0	0	0	0
11662	Ban'thok Sash	3	54	6	4	1	7	10	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	23727	1	9417	1	0	0	0	0	0	0
11726	Savage Gladiator Chain	4	57	5	4	3	7	13	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	9334	1	7598	1	0	0	0	0	0	0
11766	Flameweave Cuffs	3	57	9	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0
11815	Hand of Justice	3	58	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15600	1	9331	1	0	0	0	0	0	0
12636	Helm of the Great Chief	3	61	1	4	3	7	12	6	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0
12640	Lionheart Helm	4	61	1	4	4	4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645	7598	1	15465	1	0	0	0	0	0	0
12927	Truestrike Shoulders	3	61	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	15465	1	14027	1	0	0	0	0	0	0
12930	Briarwood Reed	3	60	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13881	1	0	0	0	0	0	0	0	0
12939	Dal'Rend's Tribal Guardian	3	63	22	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	97	0	1800	100	13385	1	0	0	0	0	0	0	0	0
12940	Dal'Rend's Sacred Charge	3	63	21	2	7	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	151	0	2800	0	7597	1	0	0	0	0	0	0	0	0
13098	Painweaver Band	3	63	11	4	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7597	1	9329	1	0	0	0	0	0	0
13340	Cape of the Black Baron	3	63	16	4	1	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	9331	1	0	0	0	0	0	0	0	0
13386	Archivist Cape	3	61	16	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	21618	1	0	0	0	0	0	0	0	0
13396	Skul's Ghastly Touch	3	57	26	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	131	5	1800	0	9417	1	0	0	0	0	0	0	0	0
13400	Vambraces of the Sadist	3	59	9	4	4	7	7	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	7597	1	0	0	0	0	0	0	0	0
13959	Omokk's Girth Restrainer	3	60	6	4	4	4	15	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	7597	1	0	0	0	0	0	0	0	0
13965	Blackhand's Breadth	3	63	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7598	1	0	0	0	0	0	0	0	0
14153	Robe of the Void	4	62	20	4	1	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	28264	1	18386	0	0	1	0	0	0	0
15062	Devilsaur Leggings	3	60	7	4	2	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	15811	1	7597	1	0	0	0	0	0	0
15063	Devilsaur Gauntlets	3	58	10	4	2	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	9335	1	7597	1	0	0	0	0	0	0
17713	Blackstone Ring	3	54	11	4	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9331	1	15464	1	0	0	0	0	0	0
18323	Satyr's Bow	3	58	15	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	119	0	2400	0	15464	1	0	0	0	0	0	0	0	0
18372	Blade of the New Moon	3	62	13	2	15	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	74	0	1400	0	9344	1	0	0	0	0	0	0	0	0
18407	Felcloth Gloves	3	62	10	4	1	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	14054	1	0	0	0	0	0	0	0	0
18500	Tarnished Elven Ring	3	61	11	4	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15464	1	0	0	0	0	0	0	0	0
18735	Maleki's Footwraps	3	62	8	4	1	7	9	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	15714	1	0	0	0	0	0	0	0	0
19165	Flarecore Leggings	4	70	7	4	1	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	17280	1	0	0	0	0	0	0	0	0
21670	Badge of the Swarmguard	4	76	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26480	0	0	0	0	0	0	0	0	0
21869	Frozen Shadoweave Shoulders	4	105	3	4	1	5	15	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	18057	1	0	1	0	0	0	0	0	0
21870	Frozen Shadoweave Boots	4	105	8	4	1	5	9	7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	24196	1	0	1	0	0	0	0	0	0
21871	Frozen Shadoweave Robe	4	105	20	4	1	5	20	7	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	26155	1	0	1	0	0	0	0	0	0
21995	Boots of Heroism	4	60	8	4	4	7	20	4	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	15464	1	0	0	0	0	0	0	0	0
22002	Darkmantle Belt	3	65	6	4	2	3	17	7	13	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0
22003	Darkmantle Boots	4	60	8	4	2	3	24	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	27037	1	0	0	0	0	0	0	0	0
22004	Darkmantle Bracers	3	65	9	4	2	3	15	7	7	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0
22005	Darkmantle Cap	4	60	1	4	2	3	26	7	18	4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	7597	1	0	0	0	0	0	0	0	0
22008	Darkmantle Spaulders	3	65	3	4	2	3	24	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0
22009	Darkmantle Tunic	4	60	5	4	2	3	31	7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	15465	1	0	0	0	0	0	0	0	0
22267	Spellweaver's Turban	3	63	1	4	1	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	18053	1	23727	1	0	0	0	0	0	0
22268	Draconic Infused Emblem	3	63	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27675	0	0	0	0	0	0	0	0	0
22329	Scepter of Interminable Focus	3	63	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9415	1	23727	1	18384	1	0	0	0	0
22339	Rune Band of Wizardry	3	63	11	4	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23727	1	9345	1	0	0	0	0	0	0
22340	Pendant of Celerity	3	63	2	4	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15464	1	0	0	0	0	0	0	0	0
22403	Diana's Pearl Necklace	3	61	2	4	0	7	8	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23727	1	9415	1	0	0	0	0	0	0
22433	Don Mauricio's Band of Domination	3	63	11	4	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9416	1	18384	1	0	0	0	0	0	0
23311	Lieutenant Commander's Dreadweave Spaulders	3	71	3	4	1	7	17	5	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	9417	1	18384	1	0	0	0	0	0	0
23522	Ragesteel Breastplate	3	115	5	4	4	4	50	32	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1164	0	0	0	0	0	0	0	0	0	0
23537	Black Felsteel Bracers	4	105	9	4	4	4	26	32	22	7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	0	0	0	0	0	0	0	0	0	0
24250	Bracers of Havok	3	112	9	4	1	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	14798	1	0	0	0	0	0	0	0	0
24259	Vengeance Wrap	4	105	16	4	1	32	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	15812	1	0	0	0	0	0	0	0	0
24262	Spellstrike Pants	4	105	7	4	1	32	26	31	22	7	12	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	28264	1	0	0	0	0	0	0	0	0
25685	Fel Leather Gloves	3	106	10	4	2	31	17	32	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	14089	1	0	0	0	0	0	0	0	0
25686	Fel Leather Boots	3	112	8	4	2	31	25	32	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	14089	1	0	0	0	0	0	0	0	0
27683	Quagmirran's Eye	3	115	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18054	1	33297	1	0	0	0	0	0	0
27797	Wastewalker Shoulderpads	3	115	3	4	2	3	25	7	13	31	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	15806	1	0	0	0	0	0	0	0	0
27837	Wastewalker Leggings	3	115	7	4	2	3	31	7	27	31	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	9335	1	0	0	0	0	0	0	0	0
27981	Sethekk Oracle Cloak	3	115	16	4	1	7	18	5	18	31	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	15714	1	0	0	0	0	0	0	0	0
27985	Deathforge Girdle	3	115	6	4	4	4	22	7	25	32	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0
28134	Brooch of Heightened Potential	3	112	2	4	0	7	15	5	14	31	9	32	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15714	1	0	0	0	0	0	0	0	0
